面积（平方米）,价格（元/月）,类别
96.17,2600,0
80,1350,0
30.3,2000,0
100,1800,0
64,1800,0
59.74,1500,0
33.86,2000,0
81,1000,0
82.6,2200,0
85,2900,0
42.48,1600,0
63,1300,0
109.89,3500,2
44,900,0
85,2000,0
39,2100,0
54,2450,0
104,7000,2
123,3000,0
83,2000,0
89.39,2400,0
53.32,1500,0
54,2500,0
82,2500,0
93,2000,0
124,2500,0
85,2260,0
100,4000,2
67,1699,0
86,1500,0
60,2150,0
65,1600,0
70,2100,0
84,2700,0
84,3000,0
76.78,2500,0
96,2300,0
80.58,3000,0
76,2500,0
41.32,900,0
114.17,6800,2
127,3000,0
78,2600,0
116,4000,2
97,2800,0
59.02,1800,0
76,2400,0
78,2300,0
63,3000,0
90,1200,0
60,2700,0
41,1200,0
76,1500,0
65,2500,0
35,1600,0
86.9,3200,2
28,1650,0
51.51,2300,0
57,2000,0
90,1200,0
50,3600,2
110,2100,0
40,1700,0
51.59,1900,0
80,2600,0
41,1300,0
86,1300,0
63,1600,0
30,1300,0
43,1500,0
92,1100,0
51.59,1800,0
91,1400,0
90,2100,0
30,1650,0
54,2300,0
32.27,1300,0
73,1600,0
45,1450,0
39.69,1200,0
54,3450,2
62,1600,0
100,2000,0
89,600,0
50,2000,0
135,4800,2
39.14,1780,0
47,1400,0
63,950,0
33.32,3000,0
38.82,2150,0
49,1300,0
74,1600,0
70,1500,0
62.45,1000,0
67.35,1300,0
12.2,1350,0
63.89,1600,0
48.75,800,0
52.29,1500,0
85,1500,0
87,3500,2
49.75,1000,0
51.64,2100,0
30,1700,0
57,2600,0
53.56,1800,0
21.9,1300,0
39,1100,0
80,1600,0
110,1700,0
38.54,1760,0
80.51,2600,0
90,1700,0
135,2400,0
90,2500,0
85,2000,0
88,2000,0
93,3400,2
100,2200,0
55,2400,0
74,2100,0
128,2800,0
54,2100,0
85,5000,2
64.66,1600,0
93,1600,0
92,1500,0
30,1200,0
71.3,3000,0
78,3100,2
30,1300,0
57.26,2100,0
69.59,3000,0
68,2620,0
95,2800,0
57,2600,0
60,1300,0
85,1700,0
84,2000,0
92,3000,0
85,2500,0
65,3000,0
104,2300,0
70,2000,0
71,2600,0
50,2400,0
75,1200,0
72,1900,0
