面积,价格,所在街道,prediction
55.85,2880,"中孚路,近迎水道",4
44,1500,绍兴道,0
94,1700,新景道,0
55.61,2900,"琳科东路,近新阔路",4
68,1800,汇川路,0
86,1300,"光明道,近南东线",0
30,1000,白万路,0
30,1400,中北大道,0
70.49,1200,京津公路,0
60,950,军粮城大街,0
48.5,1800,西青道,0
140.31,5500,城厢东路209号,3
99,2000,东方红路,0
100,2500,渌水道,4
81.44,1600,顺境路212号,0
30,1600,阜锦道,0
34,1100,"印江路,近乌江路",0
69.37,2500,"泰佳道,近瑶琳路",4
56,2400,"宾水道,近环湖东路",4
42.8,1700,冶金路,0
78,1100,"双川道,近双辰北路",0
125.96,5100,迎水道延长线,3
55,700,宝白大道,0
49.27,3200,凌宾路,4
55,3700,昆明路70号,4
49.6,1700,海洋道,0
45,1500,艺林路,0
110.54,2100,"北辰道,近高峰路",4
94,4800,环岛西路,3
93,3650,"迎水道,近简阳路",4
90.87,1400,情景大道,0
91,2900,"流霞路,近东六道",4
42,1700,解放路668号,0
30,1200,津涞公路,0
40,2100,环湖中路,4
40,2300,大沽南路936号,4
69,1200,东环路,0
85,1500,"泉州路,近来源道",0
80,1300,小街新苑路,0
100,4700,南城街857号,3
63,1750,洪湖南路14号,0
90,3200,苑东路,4
132.73,14400,康王路,1
105,2200,海景十路,4
48,1300,泽恩路,0
38.57,2100,"芥园西道,近咸阳路",4
36.99,1600,陵水道,0
33,3000,昆明路5号,4
49.09,1100,果园北道3号,0
90,1200,金华路,0
65,2800,蛇口道18号,4
56.77,1250,珠江道,0
67.73,6200,陕西路16号,3
58,1400,文澜街11102号,0
67.48,1400,"龙顺道,近顺境路",0
60,1600,"丁字沽一号路,近向东道",0
50,1900,万峰路29号,0
55,1100,迎宾街102号,0
47.52,4200,南京路239号,3
51,1800,微山路,0
96.26,2700,月牙河南路35号,4
388,4166,珠江北环西路,3
61,2600,黄河道60号,4
94,800,北环东路50号,0
106.55,4300,北城街,3
43.41,1550,红旗路,0
86.17,800,津围公路,0
22,1100,铃铛阁街,0
42,1400,佳宁道,0
90,1500,大安道,0
70,2900,"华苑路,近锦环道",4
75,1300,"团结路,近强国道",0
