FID,NAME,KIND
704,欢坨小学,A702
705,天津市河北区五幼,A701
706,河东十六幼儿园,A701
707,天津市旅游外事职业学校,A708
708,天津市环湖中学,A703
709,天津市河东外国语学校,A703
710,龙文环球教育,A709
711,河西区第十八幼儿园,A701
712,南开区中心小学,A702
713,南开区第一幼儿园分院,A701
714,培杰中学,A703
715,南开中学网校,A709
716,天津市实验华冠学校,A703
717,天津市委商务工委党校,A700
718,东方小学南开区南院,A702
719,和平区新华南路小学,A702
720,汇通外国语雅思培训中心,A709
721,南市社区学校,A703
722,爱华外国语学校,A709
723,天津市外经贸专修学院,A700
724,小天鹅艺术幼儿园,A701
725,天津纺织工业学校红桥校区,A708
726,天津市誉华专业技术学校,A708
727,靖江路小学,A702
728,天津音乐学院北校区南门,A700
729,天津大学管理学院西院,A700
730,南开区风湖里小学,A702
731,河西八幼婴童美语幼稚园,A701
732,海河中学,A703
733,天津市红桥区求真小学,A702
734,大桥道幼儿园,A701
735,阳光未来幼稚园,A701
736,天津电大河西分校,A700
737,河西区委老干部大学,A700
738,万辛庄小学,A702
739,西北角回民幼儿园,A701
740,怡和双语艺术幼儿园,A701
741,郭庄子幼儿园,A701
742,河北区第十五幼儿园,A701
743,天津市河北区生产道小学,A702
744,大张庄镇中心幼儿园,A701
745,红桥区委党校,A700
746,大港油田第一中学,A703
747,红桥区教育中心,A709
748,天津市第八十中学,A703
749,斯波泰克技师学院,A708
750,远景二小学,A702
751,河东二十一幼健健园,A701
752,新悦幼稚园,A701
753,天津河北第一驾校,A706
754,桃口幼儿园,A701
755,天津市第三中学体育艺术中心,A703
756,太平村二中,A703
757,天津中医药大学南院,A700
758,天津市南开区育智学校,A709
759,天津市第六十一中学,A703
760,潘庄小学,A702
761,南开区第一幼儿园学府分院,A701
762,南开安全技术培训学校东区,A709
763,蓟县桑梓镇马坊中心小学,A702
764,马坊中心幼儿园,A701
765,天津对外经济贸易职业学院,A700
766,第四十五中学西校区,A703
767,天津市明华学校,A702
768,天津市河西区第七幼儿园,A701
769,振华里中心小学,A702
770,天津河西二十四幼,A701
771,天津大学幼儿园,A701
772,耀华小学,A702
773,河西二十七幼,A701
774,红桥区艺术培训中心,A709
775,南江里小学分校,A702
776,天津市社会科学进修学院,A700
777,天津市第一商业学校北门,A708
778,河西区第十六幼儿园,A701
779,塘沽区向阳幼儿园,A701
780,塘沽区老年大学,A709
781,天津市纺织工业学校,A708
782,三十七幼儿园,A701
783,天津市缘诚小学,A702
784,和平区第十九幼儿园,A701
785,南开翔宇学校,A702
786,天津市实验中学,A703
787,天津广播电视中专学校,A708
788,天津市政工程局委员会党校,A700
789,天津市远景中学,A703
790,徐庄子中学,A703
791,增兴窑中心小学,A702
792,河北十二幼,A701
793,天津工业大学西青校区,A700
794,天津职业技术师大西区东门,A700
795,天津蓝巢电力检修公司培训基地,A709
796,天津市第九十八中学,A703
797,天津市河西区行政学校,A709
798,栖凤小学,A702
799,天津小学,A702
800,天津城市职业学院河东分院,A700
801,天津市河东社区学院,A709
802,天津市河东区职工大学,A700
803,天津市东丽区工业区小学,A702
804,天津四十八中学,A703
805,东湖小学,A702
806,群星小学,A702
807,天津市房管局装饰学校,A709
808,天津市纺织集团党校,A709
809,第十九幼儿园,A701
810,新会道小学,A702
811,河北区大江路小学,A702
812,东丽之光艺术幼儿园,A701
813,天津聋人学校,A709
814,天津城市建设管理职业技术学院,A700
815,天津市统计职专,A708
816,天津翻译学院,A709
817,华夏之星幼儿园东丽双语园,A701
818,光明小学,A702
819,明星幼儿园,A701
820,天津市汉沽区杨家泊小学,A702
821,蒙特利幼儿教育中心双语幼儿园,A701
822,仁合小学,A702
823,静海县中旺中学,A703
824,渤海职业技术学院友谊路校区,A700
825,渤海化工集团公司教育培训中心,A709
826,河东区教育局委员会党校,A700
827,北程林中心小学,A702
828,何庄子联合小学,A702
829,天津市河北区实验小学,A702
830,天津四十一中学分校,A703
831,逸阳小学分校区,A702
832,船沽中心小学,A702
